Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
12,Europe,Scotland,31367,18.81419457,17.38515009,11.08673314,0.24747644,0.969984757,0.389453394,5.176603481,4.45899263,16848.20315
6,Asia,Singapore,57714.3,14.61874217,14.09825866,8.379292417,0.289308282,0.746159465,0.344712375,3.882425725,3.707903938,12863.9101
12,Europe,Slovakia,17604.95,15.36649792,13.58268153,10.59797547,0.238319406,0.68390597,0.149717708,3.584651518,2.647706513,13546.73759
18,Oceania,Solomon Islands,2132.12,13.94702624,12.92052825,17.8187636,0.281008844,0.434308382,0.062158237,3.416677438,3.429138209,13271.80941
3,Africa,Somalia,499.82,17.21045071,16.00570805,9.521425844,0.173658397,0.618265306,0.0528496,3.346171643,4.309901483,16458.69905
6,Asia,South Korea,29742.84,16.18469313,15.49915585,25.11470029,0.282334753,0.580694332,0.266376298,4.136501008,4.003349716,14453.10707
12,Europe,Spain,28156.82,17.57041186,19.03103302,6.002141978,0.295101689,1.0103068,0.531809635,5.602684149,3.792970208,16792.17549
6,Asia,Sri Lanka,4065.22,14.38658211,13.15669318,23.68877277,0.289890859,0.570218184,0.109665943,3.687048812,3.64197402,13099.18357
3,Africa,Sudan,2898.55,16.84675613,16.60351887,5.200297494,0.175956104,0.796124902,0.120336557,5.091275433,4.102928688,16504.88699
12,Europe,Sweden,53442.01,17.68544126,18.61662163,12.06337288,0.300905951,1.030446504,0.440875526,5.394454791,4.966164519,16599.30426
12,Europe,Switzerland,80189.7,16.69402721,17.37907824,11.81623911,0.269761774,1.120074726,0.461645729,5.393055897,3.873036799,15789.07933
6,Asia,Taiwan,25534,14.92056967,13.04209474,13.58715913,0.474384589,0.351491707,0.163771824,3.618994472,3.221727393,13128.20535
3,Africa,Tanzania,936.33,16.3188391,15.10977496,11.37937904,0.188097112,0.62365499,0.082189222,3.360982524,4.176996556,15486.05832
6,Asia,Thailand,6593.82,15.18704659,13.55711121,10.89583085,0.289404382,0.555938083,0.12160699,3.64823097,3.382811538,13728.11666
18,Oceania,Timor,2279.25,13.78957259,13.25469589,7.566002282,0.25251209,0.513176163,0.088574427,3.536728332,3.493509984,13252.10431
18,Oceania,Tonga,3944.25,13.68654339,12.75510839,7.77448398,0.312506013,0.464928677,0.083923322,3.531923247,3.200897277,12780.55018
3,Africa,Tunisia,3490.83,17.32049725,16.96747503,3.730409193,0.199456632,0.885528891,0.16939953,5.273351246,4.211187684,16408.35989
6,Asia,Turkey,10540.62,16.76317854,16.6879198,3.39175135,0.203444005,0.892465658,0.263491176,4.553063459,3.888137929,15966.04363
3,Africa,Uganda,604.04,16.98034845,16.46816358,20.59939906,0.182129114,0.611228514,0.074650996,3.221900324,5.616770412,16514.70787
12,Europe,Ukraine,2639.82,17.44260761,17.06205653,20.20813196,0.207140572,0.653227137,0.103993799,2.977523825,4.515833647,16284.67866
6,Asia,United Arab Emirates,40698.85,15.42967472,14.97304377,3.877132135,0.215753436,0.836140654,0.212660848,4.420719704,3.128079026,14294.43269
12,Europe,United Kingdom,39720.44,17.90973883,17.23984508,7.85927381,0.273478048,1.11808813,0.406571923,5.008141305,4.34329814,16137.11909
15,North America,United States,59531.66,22.08019654,21.02596546,12.89978153,0.33615809,0.797767583,0.369417391,6.08106955,5.171768074,19353.07613
21,South America,Uruguay,16245.6,16.70376827,19.05956642,16.79708983,0.208505438,0.916625437,0.254501716,6.431614195,3.85913126,16436.64998
18,Oceania,Vanuatu,3123.61,13.92255467,12.80660236,16.85523876,0.290606386,0.439295663,0.070606036,3.435329297,3.409264488,13159.53244
21,South America,Venezuela,15692.41,14.16016857,12.41270276,9.432991989,0.213390683,0.789515209,0.176767479,2.93112575,3.089227859,12833.34607
6,Asia,Vietnam,2343.12,12.92806612,12.83754199,8.23116744,0.304671379,0.562950311,0.088673891,2.810440911,3.223907347,12382.56702
3,Africa,Zimbabwe,1079.61,17.41132514,14.09663386,27.78638284,0.178645098,0.611994848,0.0777385,3.388782163,3.599629969,15384.27712
