Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
-400,4,Kazakhstan,8837.46,16.41,13.18,24.98,0.22,0.63,0.14,2.7,3.81,14214.73
-700,2,Kenya,1507.81,15.56,14.66,9.03,0.19,0.64,0.08,3.35,4,14863.14
-300,6,Kiribati,1685.17,14.45,12.99,24.92,0.29,0.44,0.06,3.53,3.49,13336.65
-600,1,Kuwait,29040.36,16.34,16.6,2.74,0.22,0.92,0.29,5.11,3.91,15460.85
-600,1,Kyrgyzstan,1219.82,16.21,12.96,12.41,0.2,0.63,0.07,2.66,3.36,14145.63
-600,1,Laos,2457.38,14.3,13.29,10.63,0.26,0.55,0.09,4.13,3.12,13432.1
-400,4,Latvia,15594.29,17.09,15.68,19.41,0.22,0.66,0.14,2.98,3.87,15382.74
-600,1,Lebanon,8523.75,17.1,17.88,2.39,0.2,1.02,0.19,5.77,4.01,16597.43
-700,2,Lesotho,1181.81,18.48,16.75,39.03,0.18,0.6,0.08,3.58,5.98,17496.25
-700,2,Liberia,456.05,15.39,16.1,16.51,0.18,0.63,0.06,2.96,4.45,15698.57
-700,2,Libya,7998.03,16.75,16.51,4.71,0.2,0.88,0.19,5.23,4.12,15991.22
-400,4,Lithuania,16680.68,17.43,16.13,31.01,0.22,0.66,0.14,2.98,4.53,15799.51
-400,4,Luxembourg,104103.04,16.71,17.4,9.38,0.27,1.11,0.55,5.38,3.82,15782.02
-400,4,Macedonia,5442.61,14.34,13.51,8.4,0.23,0.68,0.12,3.55,2.6,13103.04
-700,2,Madagascar,449.72,16.74,15.34,10.64,0.19,0.63,0.07,3.34,4.23,15907.34
-700,2,Malawi,338.48,16.56,15.05,12.43,0.18,0.61,0.06,3.36,3.88,15597.98
-600,1,Malaysia,9944.9,13.91,13.46,8.43,0.3,0.57,0.14,4,3.75,13247.79
-600,1,Maldives,10535.79,13.7,13.23,3.89,0.29,0.57,0.12,3.61,3.46,12960.51
-700,2,Mali,824.52,15,14.17,5.96,0.19,0.63,0.07,2.98,3.49,14425.7
-400,4,Malta,26945.98,16.1,17.07,4.69,0.27,1.14,0.4,5.41,3.59,15291.68
-300,6,Marshall Islands,3753.23,13.91,12.82,16.93,0.3,0.45,0.07,3.46,3.4,13107.03
-700,2,Mauritania,3500,15.05,13.77,5.62,0.21,0.65,0.09,2.99,3.55,14178.52
-700,2,Mauritius,10547.77,14.46,13.46,8.34,0.3,0.58,0.13,3.63,3.76,13400.19
-200,5,Mexico,8902.83,14.27,12.27,5.81,0.22,0.82,0.16,3.06,3.05,12619.65
-400,4,Moldova,2289.88,16.6,15.68,15.1,0.2,0.65,0.08,2.94,3.8,15337.58
-600,1,Mongolia,3735.16,17.71,13.6,20.1,0.21,0.63,0.11,2.71,3.87,14864.42
-400,4,Montenegro,7669.57,14.76,13.71,11.13,0.23,0.67,0.12,3.56,2.83,13371.55
-700,2,Morocco,3007.24,17.69,18.13,5.37,0.19,0.84,0.15,5.2,5.87,17412.73
-700,2,Mozambique,415.72,16.99,15.4,12.53,0.18,0.62,0.06,3.38,4.43,16031.92
-600,1,Myanmar,1298.88,13.37,12.19,5.92,0.26,0.53,0.09,3.63,2.57,12333.92
-700,2,Namibia,5227.18,17.3,14.29,13.03,0.2,0.63,0.13,3.64,3.98,15320.41
-600,1,Nepal,835.08,15.89,14.68,11.13,0.25,0.54,0.08,3.87,3.99,14930.02
-400,4,Netherlands,48223.16,17.61,18.87,9.21,0.39,0.91,0.36,7.09,4.3,16605.02
-300,6,New Zealand,42940.58,21.44,21.06,11.15,0.35,1.31,0.48,7.03,4.77,18980.08
-200,5,Nicaragua,2221.81,15.2,12.57,7.33,0.21,0.81,0.12,3,3.15,13121.94
-700,2,Niger,378.06,16.03,15.21,7.93,0.19,0.63,0.06,2.97,3.96,15452.32
-700,2,Nigeria,1968.56,15.22,14.85,7.01,0.21,0.63,0.1,2.96,4.4,14921.59
-600,1,North Korea,1800,15.25,13.5,12.2,0.39,0.33,0.06,3.43,3.38,13874.98
-400,4,Norway,75504.57,18.26,18.14,9.83,0.28,0.91,0.47,6.53,4.08,16397.37
-600,1,Oman,15668.37,16.06,16.34,3.13,0.21,0.83,0.21,4.7,3.71,15393.01
-600,1,Pakistan,1547.85,15.89,14.81,3.82,0.26,0.54,0.1,3.88,3.7,14778.1
-600,1,Palestine,2300,17.93,17.29,2.73,0.19,0.87,0.13,5.15,5.01,17134.16
-200,5,Panama,15087.68,14.07,12.31,5.89,0.22,0.82,0.19,2.98,2.97,12461.76
-300,6,Papua New Guinea,2555.85,14,12.94,15.19,0.28,0.43,0.07,3.44,3.48,13312.55
-100,7,Paraguay,4365.53,16.86,17.38,6.55,0.21,1.08,0.15,6.2,3.34,16584.79
-100,7,Peru,6571.93,14.47,13.68,3.03,0.21,0.89,0.21,4.22,2.55,13668.67
-600,1,Philippines,2988.95,13.37,12.58,6.38,0.27,0.54,0.09,3.55,3,12752.84
-400,4,Poland,13811.66,15.44,12.94,14.56,0.24,0.68,0.15,3.58,2.48,13283.86
-400,4,Portugal,21136.3,17.36,18.35,9.68,0.26,1.12,0.42,5.51,5.02,16417.36
-200,5,Puerto Rico,30833.37,17.44,15.11,7.52,0.21,0.93,0.24,4.33,3.49,15500.97
-600,1,Qatar,63505.81,16.45,16.44,4.98,0.22,0.85,0.28,4.64,3.84,15330.31
-400,4,Romania,10813.72,14.06,13.02,10.03,0.23,0.75,0.12,3.47,2.63,12851.8
-400,4,Russia,10743.1,18.8,16.02,30.59,0.21,0.64,0.14,2.97,4.06,16434.68
-700,2,Rwanda,748.39,18.12,15.62,11.49,0.18,0.63,0.07,3.44,4.47,16522.18
-200,5,Saint Lucia,9574.3,16.49,14.87,7.05,0.2,0.89,0.16,4.22,3.37,15290.39
-200,5,Saint Vincent and the Grenadines,7185.18,17.24,14.83,7.59,0.2,0.88,0.16,4.2,3.42,15565.38
-300,6,Samoa,4360.75,13.86,12.82,12.95,0.32,0.47,0.08,3.49,3.33,12925.9
-700,2,Sao Tome and Principe,1912.97,14.86,14.02,2.99,0.2,0.66,0.09,2.99,3.62,14302.52
-600,1,Saudi Arabia,20760.91,15.62,15.66,3.08,0.21,0.87,0.24,4.91,3.67,15039.67
-400,4,Scotland,31367,18.81,17.39,11.09,0.25,0.97,0.39,5.18,4.46,16848.2
-700,2,Senegal,1033.07,15.48,14.19,13.58,0.2,0.64,0.08,3.01,3.94,14589.43
-400,4,Serbia,5900.04,14.67,13.51,15.49,0.23,0.67,0.12,3.54,2.86,13314.91
-700,2,Seychelles,15504.46,13.59,12.55,8.35,0.29,0.56,0.14,3.56,3.07,12753.62
-700,2,Sierra Leone,499.43,15.55,14.99,9.78,0.19,0.63,0.07,2.98,4.18,15132.73
